Viral Load (copies/ml),Viral Load detection,Animal,FTY Treatment,dpi,Collection Group
1160000,1,13D064,FTY,7,B
12900000,1,13D064,FTY,10,B
13300000,1,13D064,FTY,14,B
2010,1,13D064,FTY,28,B
60,0,13D064,FTY,42,B
60,0,13D064,FTY,81,B
60,0,13D064,FTY,107,B
60,0,13D064,FTY,134,B
60,0,13D064,FTY,162,B
60,0,13D064,FTY,189,B
60,0,13D064,FTY,191,B
60,0,13D064,FTY,198,B
60,0,13D064,FTY,212,B
60,0,13D064,FTY,219,B
60,0,13D064,FTY,222,B
60,0,13D064,FTY,224,B
60,0,13D064,FTY,226,B
5420,1,13D064,FTY,229,B
36100,1,13D064,FTY,233,B
42100,1,13D064,FTY,238,B
10900,1,13D064,FTY,244,B
5490,1,13D064,FTY,247,B
5990,1,13D064,FTY,261,B
2870,1,13D064,FTY,282,B
62.9,1,13D064,FTY,284,B
92.2,1,13D064,FTY,287,B
60,0,13D064,FTY,289,B
60,0,13D064,FTY,297,B
60,0,13D064,FTY,303,B
60,0,13D064,FTY,310,B
60,0,13D064,FTY,317,B
60,0,13D064,FTY,324,B
60,0,13D064,FTY,351,B
60,0,13D064,FTY,375,B
60,0,13D064,FTY,378,B
60,0,13D064,FTY,380,B
60,0,13D064,FTY,382,B
60,0,13D064,FTY,385,B
60,0,13D064,FTY,389,B
522.2,1,13D064,FTY,394,B
2126,1,13D064,FTY,396,B
316000,1,14_10,FTY,7,B
27500000,1,14_10,FTY,10,B
36300000,1,14_10,FTY,14,B
1940,1,14_10,FTY,28,B
101,1,14_10,FTY,42,B
60,0,14_10,FTY,81,B
60,0,14_10,FTY,107,B
60,0,14_10,FTY,134,B
60,0,14_10,FTY,162,B
60,0,14_10,FTY,189,B
60,0,14_10,FTY,191,B
60,0,14_10,FTY,198,B
60,0,14_10,FTY,212,B
60,0,14_10,FTY,219,B
60,0,14_10,FTY,222,B
60,0,14_10,FTY,224,B
60,0,14_10,FTY,226,B
112,1,14_10,FTY,229,B
5670,1,14_10,FTY,233,B
43600,1,14_10,FTY,238,B
1040000,1,14_10,FTY,244,B
294000,1,14_10,FTY,247,B
88500,1,14_10,FTY,261,B
8880,1,14_10,FTY,282,B
1370,1,14_10,FTY,284,B
80.4,1,14_10,FTY,287,B
60,0,14_10,FTY,289,B
60,0,14_10,FTY,297,B
60,0,14_10,FTY,303,B
60,0,14_10,FTY,310,B
60,0,14_10,FTY,317,B
60,0,14_10,FTY,324,B
60,0,14_10,FTY,351,B
60,0,14_10,FTY,375,B
60,0,14_10,FTY,378,B
60,0,14_10,FTY,380,B
60,0,14_10,FTY,382,B
60,0,14_10,FTY,385,B
342.8,1,14_10,FTY,389,B
3120,1,14_10,FTY,392,B
803000,1,14C207,Control,7,B
22500000,1,14C207,Control,10,B
26100000,1,14C207,Control,14,B
2570,1,14C207,Control,28,B
87.5,1,14C207,Control,42,B
178,1,14C207,Control,81,B
60,0,14C207,Control,107,B
60,0,14C207,Control,134,B
60,0,14C207,Control,162,B
60,0,14C207,Control,189,B
60,0,14C207,Control,191,B
60,0,14C207,Control,198,B
60,0,14C207,Control,212,B
60,0,14C207,Control,219,B
60,0,14C207,Control,222,B
60,0,14C207,Control,224,B
60,0,14C207,Control,226,B
702,1,14C207,Control,229,B
3460,1,14C207,Control,233,B
2030,1,14C207,Control,238,B
158,1,14C207,Control,244,B
182,1,14C207,Control,247,B
206,1,14C207,Control,261,B
641,1,14C207,Control,282,B
296,1,14C207,Control,284,B
60,0,14C207,Control,287,B
60,0,14C207,Control,289,B
60,0,14C207,Control,297,B
60,0,14C207,Control,303,B
60,0,14C207,Control,310,B
60,0,14C207,Control,317,B
60,0,14C207,Control,324,B
60,0,14C207,Control,351,B
60,0,14C207,Control,375,B
60,0,14C207,Control,378,B
60,0,14C207,Control,380,B
60,0,14C207,Control,382,B
60,0,14C207,Control,385,B
60,0,14C207,Control,389,B
60,0,14C207,Control,394,B
365.6,1,14C207,Control,400,B
130.9,1,14C207,Control,403,B
60,0,14C207,Control,409,B
60,0,14C207,Control,416,B
90,1,14C207,Control,424,B
232,1,14C207,Control,435,B
127.7,1,14C207,Control,450,B
375,1,14C207,Control,464,B
384.4,1,14C207,Control,465,B
49417.8,1,14C207,Control,469,B
350851.2,1,14C207,Control,473,B
690152.6,1,14C207,Control,476,B
143037.8,1,14C207,Control,483,B
51249.4,1,14C207,Control,501,B
28859.8,1,14C207,Control,528,B
10039.4,1,14C207,Control,571,B
872000,1,9_047,Control,7,B
17500000,1,9_047,Control,10,B
6630000,1,9_047,Control,14,B
1040,1,9_047,Control,28,B
60,0,9_047,Control,42,B
60,0,9_047,Control,81,B
60,0,9_047,Control,107,B
60,0,9_047,Control,134,B
60,0,9_047,Control,162,B
60,0,9_047,Control,189,B
60,0,9_047,Control,191,B
60,0,9_047,Control,198,B
60,0,9_047,Control,212,B
60,0,9_047,Control,219,B
60,0,9_047,Control,222,B
60,0,9_047,Control,224,B
60,0,9_047,Control,226,B
150,1,9_047,Control,229,B
4860,1,9_047,Control,233,B
54300,1,9_047,Control,238,B
4640,1,9_047,Control,244,B
2120,1,9_047,Control,247,B
137,1,9_047,Control,261,B
60,0,9_047,Control,282,B
60,0,9_047,Control,284,B
60,0,9_047,Control,287,B
60,0,9_047,Control,289,B
60,0,9_047,Control,297,B
60,0,9_047,Control,303,B
60,0,9_047,Control,310,B
60,0,9_047,Control,317,B
60,0,9_047,Control,324,B
60,0,9_047,Control,351,B
60,0,9_047,Control,375,B
60,0,9_047,Control,378,B
60,0,9_047,Control,380,B
60,0,9_047,Control,382,B
60,0,9_047,Control,385,B
60,0,9_047,Control,389,B
60,0,9_047,Control,394,B
60,0,9_047,Control,400,B
60,0,9_047,Control,403,B
60,0,9_047,Control,409,B
60,0,9_047,Control,416,B
158,1,9_047,Control,424,B
60,0,9_047,Control,435,B
60,0,9_047,Control,450,B
60,0,9_047,Control,464,B
