WT Fraction above Background,WT detection,WT count,WT LOD,Animal,FTY Treatment,Sample,dpi,phase,timing,AUC VL post detection,AUC log10VL post detection,Collection Group
0.98564467234283,1,19303,56.3164831615532,13D064,FTY,Plasma,7,Pre-ART,7,822686.990041135,27.449132338637,B
0.907370555326627,1,19200,60.8328764954495,13D064,FTY,Plasma,14,Pre-ART,14,67839959.3845303,75.6805865904589,B
0.967090706858476,1,13439,39.9582564758191,13D064,FTY,Plasma,233,ATI-1,4,68289.5632522738,24.8512387822711,B
0.482034762000354,1,3553,21.1312988234086,13D064,FTY,Plasma,261,ATI-1,32,505913.895865335,138.075330239415,B
0.312112337414811,1,1735,15.8852455192213,13D064,FTY,Plasma,282,ATI-1,53,594962.327462069,214.04607179021,B
0.0671520695799059,1,485,19.9719181591517,13D064,FTY,Plasma,396,ATI-2,2,3352.77661033764,17.2853704223506,B
0.982256702887501,1,6895,20.1853364903831,13D064,FTY,LNMC,189,ART-1,175,NaN,NaN,B
0.971460405066682,1,13748,40.6936845091164,13D064,FTY,LNMC,233,ATI-1,4,NaN,NaN,B
0.980192232421466,1,4589,13.462659056595,13D064,FTY,PBMC,189,ART-1,175,NaN,NaN,B
0.965464138625459,1,1958,5.831511699322,13D064,FTY,PBMC,318,ART-2,36,NaN,NaN,B
0.967298652055353,1,27722,82.4083161703396,14_10,FTY,Plasma,7,Pre-ART,7,258086.186344962,25.4724341655072,B
0.853396213454263,1,19995,67.3450196295094,14_10,FTY,Plasma,14,Pre-ART,14,145304566.041296,74.8794424679129,B
0.948550034206132,1,23254,70.4886139679174,14_10,FTY,Plasma,238,ATI-1,9,98886.6428988449,38.3293299431106,B
0.0844862107114063,1,303,10.0018212528431,14_10,FTY,Plasma,261,ATI-1,32,6151439.45401997,160.433994641149,B
0.0378546974485301,1,150,10.6190039945122,14_10,FTY,Plasma,282,ATI-1,53,6878657.30214589,253.835235124151,B
0.0275862068965517,1,10,2,14_10,FTY,Plasma,392,ATI-2,3,4421.68539034317,17.670177238174,B
0.940786251280224,1,20790,63.5380980453823,14_10,FTY,LNMC,233,ATI-1,4,NaN,NaN,B
0.981133310599236,1,26782,78.4946854205968,14C207,Control,Plasma,7,Pre-ART,7,591530.073120518,26.8900337848181,B
0.876403837691257,1,23608,77.4333618274462,14C207,Control,Plasma,14,Pre-ART,14,117143237.283063,76.3130269308025,B
0.84065338346286,1,1364,4.66347894055572,14C207,Control,Plasma,233,ATI-1,4,7699.27985846776,19.7075589656153,B
0.824702175393425,1,5304,18.4837579035384,14C207,Control,Plasma,238,ATI-1,9,21108.0575132208,36.8239893073803,B
0.621965667895671,1,1559,7.19565860030088,14C207,Control,Plasma,282,ATI-1,53,36776.3053350083,145.815726776696,B
